SRR12516936_2.fastq	S35_S35_L001_R2_001.fastq
SRR12516937_1.fastq	S34_S34_L001_R1_001.fastq
SRR12516937_2.fastq	S34_S34_L001_R2_001.fastq
SRR12516938_1.fastq	S33_S33_L001_R1_001.fastq
SRR12516938_2.fastq	S33_S33_L001_R2_001.fastq
SRR12516939_1.fastq	S32_S32_L001_R1_001.fastq
SRR12516939_2.fastq	S32_S32_L001_R2_001.fastq
SRR12516940_1.fastq	S31_S31_L001_R1_001.fastq
SRR12516940_2.fastq	S31_S31_L001_R2_001.fastq
SRR12516941_1.fastq	S4_S4_L001_R1_001.fastq
SRR12516941_2.fastq	S4_S4_L001_R2_001.fastq
SRR12516942_1.fastq	S30_S30_L001_R1_001.fastq
SRR12516942_2.fastq	S30_S30_L001_R2_001.fastq
SRR12516943_1.fastq	S29_S29_L001_R1_001.fastq
SRR12516943_2.fastq	S29_S29_L001_R2_001.fastq
SRR12516944_1.fastq	S28_S28_L001_R1_001.fastq
SRR12516944_2.fastq	S28_S28_L001_R2_001.fastq
SRR12516945_1.fastq	S27_S27_L001_R1_001.fastq
SRR12516945_2.fastq	S27_S27_L001_R2_001.fastq
SRR12516946_1.fastq	S26_S26_L001_R1_001.fastq
SRR12516946_2.fastq	S26_S26_L001_R2_001.fastq
SRR12516947_1.fastq	S25_S25_L001_R1_001.fastq
SRR12516947_2.fastq	S25_S25_L001_R2_001.fastq
SRR12516948_1.fastq	S24_S24_L001_R1_001.fastq
SRR12516948_2.fastq	S24_S24_L001_R2_001.fastq
SRR12516949_1.fastq	S23_S23_L001_R1_001.fastq
SRR12516949_2.fastq	S23_S23_L001_R2_001.fastq
SRR12516950_1.fastq	S22_S22_L001_R1_001.fastq
SRR12516950_2.fastq	S22_S22_L001_R2_001.fastq
SRR12516951_1.fastq	S21_S21_L001_R1_001.fastq
SRR12516951_2.fastq	S21_S21_L001_R2_001.fastq
SRR12516952_1.fastq	S3_S3_L001_R1_001.fastq
SRR12516952_2.fastq	S3_S3_L001_R2_001.fastq
SRR12516953_1.fastq	S20_S20_L001_R1_001.fastq
SRR12516953_2.fastq	S20_S20_L001_R2_001.fastq
SRR12516954_1.fastq	S19_S19_L001_R1_001.fastq
SRR12516954_2.fastq	S19_S19_L001_R2_001.fastq
SRR12516955_1.fastq	S18_S18_L001_R1_001.fastq
SRR12516955_2.fastq	S18_S18_L001_R2_001.fastq
SRR12516956_1.fastq	S17_S17_L001_R1_001.fastq
SRR12516956_2.fastq	S17_S17_L001_R2_001.fastq
SRR12516957_1.fastq	S152_S152_L001_R1_001.fastq
SRR12516957_2.fastq	S152_S152_L001_R2_001.fastq
SRR12516958_1.fastq	S151_S151_L001_R1_001.fastq
SRR12516958_2.fastq	S151_S151_L001_R2_001.fastq
SRR12516959_1.fastq	S16_S16_L001_R1_001.fastq
SRR12516959_2.fastq	S16_S16_L001_R2_001.fastq
SRR12516960_1.fastq	S150_S150_L001_R1_001.fastq
SRR12516960_2.fastq	S150_S150_L001_R2_001.fastq
SRR12516961_1.fastq	S149_S149_L001_R1_001.fastq
SRR12516961_2.fastq	S149_S149_L001_R2_001.fastq
SRR12516962_1.fastq	S148_S148_L001_R1_001.fastq
SRR12516962_2.fastq	S148_S148_L001_R2_001.fastq
SRR12516963_1.fastq	S147_S147_L001_R1_001.fastq
SRR12516963_2.fastq	S147_S147_L001_R2_001.fastq
SRR12516964_1.fastq	S146_S146_L001_R1_001.fastq
SRR12516964_2.fastq	S146_S146_L001_R2_001.fastq
SRR12516965_1.fastq	S145_S145_L001_R1_001.fastq
SRR12516965_2.fastq	S145_S145_L001_R2_001.fastq
SRR12516966_1.fastq	S144_S144_L001_R1_001.fastq
SRR12516966_2.fastq	S144_S144_L001_R2_001.fastq
SRR12516967_1.fastq	S143_S143_L001_R1_001.fastq
SRR12516967_2.fastq	S143_S143_L001_R2_001.fastq
SRR12516968_1.fastq	S142_S142_L001_R1_001.fastq
SRR12516968_2.fastq	S142_S142_L001_R2_001.fastq
SRR12516969_1.fastq	S141_S141_L001_R1_001.fastq
SRR12516969_2.fastq	S141_S141_L001_R2_001.fastq
SRR12516970_1.fastq	S15_S15_L001_R1_001.fastq
SRR12516970_2.fastq	S15_S15_L001_R2_001.fastq
SRR12516971_1.fastq	S140_S140_L001_R1_001.fastq
SRR12516971_2.fastq	S140_S140_L001_R2_001.fastq
SRR12516972_1.fastq	S139_S139_L001_R1_001.fastq
SRR12516972_2.fastq	S139_S139_L001_R2_001.fastq
SRR12516973_1.fastq	S138_S138_L001_R1_001.fastq
SRR12516973_2.fastq	S138_S138_L001_R2_001.fastq
SRR12516974_1.fastq	S137_S137_L001_R1_001.fastq
SRR12516974_2.fastq	S137_S137_L001_R2_001.fastq
SRR12516975_1.fastq	S136_S136_L001_R1_001.fastq
SRR12516975_2.fastq	S136_S136_L001_R2_001.fastq
SRR12516976_1.fastq	S135_S135_L001_R1_001.fastq
SRR12516976_2.fastq	S135_S135_L001_R2_001.fastq
SRR12516977_1.fastq	S134_S134_L001_R1_001.fastq
SRR12516977_2.fastq	S134_S134_L001_R2_001.fastq
SRR12516978_1.fastq	S133_S133_L001_R1_001.fastq
SRR12516978_2.fastq	S133_S133_L001_R2_001.fastq
SRR12516979_1.fastq	S132_S132_L001_R1_001.fastq
SRR12516979_2.fastq	S132_S132_L001_R2_001.fastq
SRR12516980_1.fastq	S131_S131_L001_R1_001.fastq
SRR12516980_2.fastq	S131_S131_L001_R2_001.fastq
SRR12516981_1.fastq	S14_S14_L001_R1_001.fastq
SRR12516981_2.fastq	S14_S14_L001_R2_001.fastq
SRR12516982_1.fastq	S130_S130_L001_R1_001.fastq
SRR12516982_2.fastq	S130_S130_L001_R2_001.fastq
SRR12516983_1.fastq	S129_S129_L001_R1_001.fastq
SRR12516983_2.fastq	S129_S129_L001_R2_001.fastq
SRR12516984_1.fastq	S128_S128_L001_R1_001.fastq
SRR12516984_2.fastq	S128_S128_L001_R2_001.fastq
SRR12516985_1.fastq	S127_S127_L001_R1_001.fastq
SRR12516985_2.fastq	S127_S127_L001_R2_001.fastq
SRR12516986_1.fastq	S126_S126_L001_R1_001.fastq
SRR12516986_2.fastq	S126_S126_L001_R2_001.fastq
SRR12516987_1.fastq	S125_S125_L001_R1_001.fastq
SRR12516987_2.fastq	S125_S125_L001_R2_001.fastq
SRR12516988_1.fastq	S124_S124_L001_R1_001.fastq
SRR12516988_2.fastq	S124_S124_L001_R2_001.fastq
SRR12516989_1.fastq	S123_S123_L001_R1_001.fastq
SRR12516989_2.fastq	S123_S123_L001_R2_001.fastq
SRR12516990_1.fastq	S122_S122_L001_R1_001.fastq
SRR12516990_2.fastq	S122_S122_L001_R2_001.fastq
SRR12516991_1.fastq	S121_S121_L001_R1_001.fastq
SRR12516991_2.fastq	S121_S121_L001_R2_001.fastq
SRR12516992_1.fastq	S13_S13_L001_R1_001.fastq
SRR12516992_2.fastq	S13_S13_L001_R2_001.fastq
SRR12516993_1.fastq	S120_S120_L001_R1_001.fastq
SRR12516993_2.fastq	S120_S120_L001_R2_001.fastq
